production_companies_id,name
610,Kuchenreuther Filmproduktion GmbH
582,Hachette Première
14755,Sofinergie Films
23677,Fondation GAN pour le Cinéma
25021,Constellation
25022,Union Générale Cinématographique (UGC)
25023,Sofinergie 2
25024,Investimage 2
26424,Satyajit Ray Productions
1988,Epic Productions
584,Norma Productions
4759,D.W. Griffith Productions
1315,Charles Chaplin Productions
590,Constellation Productions
851,MEDIA Programme of the European Union
1871,Cofimage 5
6639,Televisión Española (TVE)
7237,Tele München Fernseh Produktionsgesellschaft (TMG)
8170,Club d Investissement Média
12009,Elías Querejeta Producciones Cinematográficas S.L.
25129,Lumière Pictures
47532,Canal+
79437,Cofimage 4
79438,Ossane
79439,Phoenix Images
11496,Jalem Productions
4903,Nero Films
1460,Loew s
16749,Simkoe
597,Irish Dreamtime
71975,Roy Export Company Establishment
600,Mehboob Productions
601,Blake Edwards Entertainment
1174,Delphi V Productions
44425,ML Delphi Premier Productions
2883,Aniplex
631,Parkway Pictures (I)
663,12 Gauge Productions
638,Laurel Group
83715,Dawn Associates
655,Strike Entertainment
656,Metropolitan Filmexport
657,Toho-Towa
78685,Cruel and Unusual Films
2605,Gran Via Productions
620,Centropolis Film Productions
2833,Independent Pictures (II)
11343,Fried Films
8040,Casey Productions
74061,Eldorado Films
12364,Deutsche Film (DEFA)
603,Prima Films
18844,Indusfilms
23533,Mirisch G-E Productions
1221,Gainsborough Pictures
5739,Donner/Shuler-Donner Productions
605,Rampart Productions
14323,Compass International Pictures
22814,Falcon International Productions
51199,Munich Film Partners & Company (MFP) MI2 Productions
658,MI 3 Film
14714,China Film Group Corporation (CFGC)
22102,The Fourth Production Company Film Group
617,Brooksfilms Ltd.
12190,Buster Keaton Productions
20931,Alpha Productions
611,Bryna Productions
612,Artists Entertainment Complex
613,Hecht-Hill-Lancaster Productions
69037,Murnau-Flaherty Productions
57435,Applecross
57436,Reperage & Vanguard Films
616,Eskwad
1157,Les Cinémas de la Zone
4176,Nord-Ouest Productions
19233,120 Films
623,MC Productions
624,Persky-Bright Productions
625,Devon
15298,Malpaso Company
12226,American Film Institute (AFI)
17877,Libra Films
627,Internacional Films Espagnol
628,Alpine Productions
629,Peppercorn-Wormser Inc
630,IPC Films
22820,Rossen Films
632,British Lion Films
70279,Metro Pictures
2380,Palomar Pictures
634,ABC Pictures
636,Babbo Inc.
1789,M&M Productions
2306,Fontana Productions
641,Titanus
