collection_id,name
437451,Cinderella Story Collection
30663,Harold & Kumar Collection
35792,Nanny McPhee Collection
101688,Cannonball Run Collection
174218,The Howling Collection
173344,Qatsi Collection
192532,Dead or Alive Collection
87536,Warlock Collection
221966,The Odd Couple Collection
248339,House on Haunted Hill Collection
11118,The Olsen Gang Collection
25410,The Art of War Collection
102782,House Collection
33071,Cheech & Chong Collection
99635,A Better Tomorrow Collection
187736,Leningrad Cowboys Collection
207447,Firestarter Collection
140910,All Dogs Go to Heaven Collection
286935,Silence of God Trilogy by Ingmar Bergman
119050,Grumpy Old Men Collection
87214,The Sandlot Collection
97461,Lilo & Stitch Collection
201576,The Cabin Fever Collection
164397,Class of 1999 Collection
11582,Don Camillo Collection
261526,Slap Shot Collection
143757,Stir of Echoes Collection
296358,Anche gli angeli - Collezione
11875,Pippi Longstocking
107688,3 Men Collection
458558,Mamma Mia! Collection
87800,Appleseed Collection
207952,Barrytown Trilogy
261203,Street Fighter
178117,The Emperor s New Groove Collection
36694,Bloodsport Collection
141292,The Secret Of NIMH Collection
326795,Freche Mädchen Filmreihe
280562,The Guyver Collection
98168,Fright Night Collection
376863,This is England Collection
118828,Space Chimps Collection
19285,Leprechaun Collection (Original Series)
123213,The Fly (1958 series)
173628,Nekromantik Collection
43066,Teen Wolf Collection
141086,Heavy Metal Collection
275402,SpongeBob Collection
108125,The 36th Chamber of Shaolin Collection
96871,Father of the Bride Collection
123724,Dracula (Hammer Series)
266731,Cat Stevens y Hutch Bessy Trilogy
127280,The Three Mothers Collection
124901,Hatchet Collection
108502,The Discworld Collection
321063,The Sinbad Collection
187089,Emil i Lönneberga
174386,Into the Blue Collection
104847,Caddyshack Collection
130440,The Pink Panther (Steve Martin) Collection
195441,Dennis the Menace Collection
149704,Alone in the Dark Collection
19163,The Land Before Time Collection
261307,Alice in Wonderland Collection
374384,Stepford Collection
178654,White Fang Collection
100693,101 Dalmatians (Animated) Collection
97237,Faces of Death Collection
267922,The Hills Have Eyes (Original) Collection
96677,Red Cliff Collection
466318,Bachelor Party Collection
175858,Hidden Collection
377545,Samurai Trilogy
91945,American Ninja Collection
476056,Fritz the Cat Collection
190435,Street Fighter Collection
97307,BloodRayne Collection
272416,Lauras Stern
148517,"Pagnol, Childhood s Memories"
384920,"No Retreat, No Surrender Collection"
46512,Missing in Action Collection
102008,Another Gay Movie Collection
241729,Alpha and Omega Collection
44215,Stargate SG-1 Collection
479319,George Carlin Comedy Collection
96682,Zeitgeist Collection
114993,Unstable Fables Collection
286177,Footsoldier Collection
159603,Kidulthood Collection
436982,SPL Collection
315595,Tinker Bell Collection
56005,Dead Space Collection
123203,Hellboy (Animated) Collection
19160,FernGully Collection
322330,Garfield Holiday Celebrations
434533,Death Race Original Collection
411859,Barbie Fairytopia Collection
279445,China O Brien Collection
113679,Design Trilogy
464270,The Man from Earth Collection
95051,The Up Series
282246,Mickey s Upon a Christmas Collection
242587,Rudolph the Red-Nosed Reindeer Collection
394204,The Snowman Collection
124879,State Property Collection
463394,Always: Sunset on Third Street Collection
